model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_lr_annealing_selection_AutoML_1_20250426_112748_select_model,0.8540723981900453,0.4600277409782797,0.7382204046989094,0.2032428355957767,0.3880359089082289,0.1505718666022353
GBM_grid_1_AutoML_1_20250426_112748_model_30,0.8536953242835595,0.4532554662104477,0.7373727927932733,0.2034313725490196,0.3855039924674821,0.1486133282083685
GBM_grid_1_AutoML_1_20250426_112748_model_14,0.8514328808446455,0.4519113508365256,0.7244579257938278,0.1843891402714932,0.3864153667179088,0.1493168356357359
GBM_grid_1_AutoML_1_20250426_112748_model_20,0.8512443438914027,0.4514748369879073,0.7050299129109471,0.2032428355957767,0.3866266095044423,0.1494801351769004
GBM_grid_1_AutoML_1_20250426_112748_model_34,0.850867269984917,0.4465491549107377,0.6925989921630312,0.1993778280542986,0.3831776358493556,0.1468251006151013
GBM_grid_1_AutoML_1_20250426_112748_model_7,0.84973604826546,0.4598383782898645,0.6853616969019721,0.2041855203619909,0.3905325208943537,0.1525156498760988
DeepLearning_grid_3_AutoML_1_20250426_112748_model_4,0.8491704374057315,0.58779455507951,0.7523846837153783,0.2128582202111613,0.4207702229494028,0.1770475805208901
GBM_grid_1_AutoML_1_20250426_112748_model_25,0.8482277526395173,0.4481153227530274,0.7216787210260627,0.213235294117647,0.3849701705425009,0.1482020322075222
GBM_grid_1_AutoML_1_20250426_112748_model_27,0.8480392156862746,0.4506432520039077,0.7293802634542971,0.2036199095022624,0.3843789590017124,0.1477471841232401
GBM_grid_1_AutoML_1_20250426_112748_model_2,0.8471907993966817,0.446154689335392,0.734949222624952,0.199000754147813,0.3839757088373889,0.1474373449771752
GBM_grid_1_AutoML_1_20250426_112748_model_16,0.8467194570135747,0.4530251520052099,0.715181534531083,0.1845776772247361,0.3864142350841403,0.1493159610756613
GBM_grid_1_AutoML_1_20250426_112748_model_6,0.8457767722473604,0.450773401924108,0.7316290614250298,0.2086161387631975,0.3861041399218987,0.1490764068648291
GBM_grid_1_AutoML_1_20250426_112748_model_9,0.8448340874811463,0.4719439686074083,0.6928310001299868,0.1792043740573152,0.3968872500645984,0.1575194892638391
DeepLearning_grid_1_AutoML_1_20250426_112748_model_1,0.8444570135746606,0.6829674980158137,0.6968064298658181,0.1993778280542986,0.3927660510236346,0.1542651708367003
StackedEnsemble_BestOfFamily_4_AutoML_1_20250426_112748,0.8435143288084463,0.4586525616291412,0.7291162509274305,0.2139894419306184,0.3855424699136258,0.148642996107099
StackedEnsemble_AllModels_1_AutoML_1_20250426_112748,0.8418174962292609,0.4581328138070499,0.7187553647842168,0.2038084464555052,0.3899638986126253,0.1520718422211579
GBM_grid_1_AutoML_1_20250426_112748_model_11,0.8418174962292609,0.4673532993876858,0.6674433651422313,0.1941930618401206,0.3951553124606717,0.1561477209658911
GBM_grid_1_AutoML_1_20250426_112748_model_24,0.8414404223227753,0.4651929850850411,0.6761486966902279,0.1940045248868778,0.3952484856790905,0.1562213654316142
DeepLearning_grid_1_AutoML_1_20250426_112748_model_7,0.8410633484162896,0.4595717531298516,0.7473767658638785,0.2339743589743589,0.3860950724554363,0.1490694049743685
GBM_grid_1_AutoML_1_20250426_112748_model_22,0.8410633484162896,0.4632621764101225,0.6950104097447503,0.2232277526395173,0.3946088562399963,0.1557161494230381
GBM_3_AutoML_1_20250426_112748,0.840497737556561,0.4761164304375989,0.6380352063296891,0.1936274509803921,0.4022128129144114,0.1617751468725233
StackedEnsemble_BestOfFamily_2_AutoML_1_20250426_112748,0.8401206636500754,0.4607272855211303,0.7150835770448861,0.2089932126696832,0.3908287855450192,0.1527471396105946
GBM_grid_1_AutoML_1_20250426_112748_model_36,0.8399321266968326,0.4578278018749157,0.7238339760345462,0.2128582202111613,0.3898800922272282,0.152006486315112
GBM_grid_1_AutoML_1_20250426_112748_model_29,0.8397435897435896,0.4603978985061299,0.6881029791334008,0.2076734539969834,0.392162127113781,0.1537911339424053
GBM_grid_1_AutoML_1_20250426_112748_model_26,0.8386123680241327,0.4635833012335772,0.6843393184254841,0.2130467571644042,0.3935572623811035,0.1548873187729087
DeepLearning_grid_2_AutoML_1_20250426_112748_model_1,0.8386123680241327,0.5018637387752902,0.6576201699023143,0.2136123680241327,0.3966439377360601,0.1573264133427675
GBM_grid_1_AutoML_1_20250426_112748_model_17,0.8365384615384616,0.4642503428194338,0.6716999106768039,0.218420060331825,0.3940943512929388,0.1553103577210022
DeepLearning_grid_3_AutoML_1_20250426_112748_model_5,0.8361613876319758,0.4745361876568209,0.7025663349382321,0.2337858220211161,0.397541769443504,0.1580394584522721
StackedEnsemble_BestOfFamily_5_AutoML_1_20250426_112748,0.835972850678733,0.4590006740927546,0.7357293972230473,0.2317119155354449,0.3904396110356677,0.1524430898656835
StackedEnsemble_BestOfFamily_7_AutoML_1_20250426_112748,0.835972850678733,0.4603396281121748,0.7339199954267204,0.2269042232277526,0.3908344328705207,0.1527515539172215
GBM_grid_1_AutoML_1_20250426_112748_model_73,0.8355957767722474,0.4771952384103978,0.6827031041991511,0.2074849170437406,0.3988398241328442,0.1590732053143181
GBM_grid_1_AutoML_1_20250426_112748_model_74,0.8354072398190044,0.4754393461415512,0.6817007149073665,0.2084276018099547,0.3979913772063368,0.1583971363305967
GBM_grid_1_AutoML_1_20250426_112748_model_19,0.8350301659125189,0.4559550108252919,0.7239979749564321,0.2038084464555052,0.3898208226924131,0.1519602738045898
GBM_1_AutoML_1_20250426_112748,0.8344645550527903,0.4587390506740919,0.7155893820313481,0.2230392156862745,0.3911826894442492,0.1530238965208358
DRF_1_AutoML_1_20250426_112748,0.834370286576169,0.4686418788732061,0.6754756520101514,0.2032428355957767,0.3963886700683044,0.1571239777585191
StackedEnsemble_BestOfFamily_1_AutoML_1_20250426_112748,0.8340874811463047,0.4631483096053426,0.7324634968260754,0.223604826546003,0.3914817042328434,0.1532579247490514
DeepLearning_grid_3_AutoML_1_20250426_112748_model_11,0.8337104072398189,0.4626982856412529,0.7244859730963438,0.2382164404223228,0.3914972447400784,0.1532700926390728
GBM_grid_1_AutoML_1_20250426_112748_model_8,0.8333333333333334,0.5267917882536071,0.6419026169202213,0.213235294117647,0.4159152740378785,0.1729855151780036
GBM_grid_1_AutoML_1_20250426_112748_model_35,0.8323906485671191,0.485061682212645,0.6600884938923977,0.2274698340874811,0.4071739013821849,0.1657905859667892
GBM_grid_1_AutoML_1_20250426_112748_model_79,0.8306938159879336,0.4743381943961907,0.6820196598025582,0.2074849170437406,0.3974239403480141,0.1579457883617419
GBM_grid_1_AutoML_1_20250426_112748_model_23,0.8305052790346908,0.4768683792106722,0.6604389289206215,0.2384049773755656,0.3988336831308883,0.1590683067997498
GBM_grid_1_AutoML_1_20250426_112748_model_28,0.8305052790346908,0.4721306692869061,0.6484929634337903,0.217288838612368,0.3977021343867018,0.1581669876957382
StackedEnsemble_BestOfFamily_6_AutoML_1_20250426_112748,0.8293740573152337,0.4817340476804758,0.6807182852631087,0.2274698340874811,0.3991886155598125,0.1593515507925598
DeepLearning_grid_3_AutoML_1_20250426_112748_model_12,0.8293740573152337,0.5007632515454638,0.7164792007626721,0.2378393665158371,0.4032112707744841,0.1625793288795743
GBM_grid_1_AutoML_1_20250426_112748_model_75,0.8289969834087482,0.4734589706298161,0.6762149017658968,0.2187971342383107,0.3989922335199398,0.1591948024092301
StackedEnsemble_Best1000_1_AutoML_1_20250426_112748,0.8289969834087482,0.4981250794436335,0.6608220319419997,0.2076734539969834,0.4073381310269903,0.1659243529885615
GBM_grid_1_AutoML_1_20250426_112748_model_31,0.8288084464555053,0.4782014740047015,0.6813061761550808,0.2343514328808446,0.3978386021185509,0.1582755533356426
StackedEnsemble_AllModels_4_AutoML_1_20250426_112748,0.827865761689291,0.4991430085875792,0.6586422960544615,0.2122926093514328,0.4078981078502958,0.1663808663878516
StackedEnsemble_AllModels_6_AutoML_1_20250426_112748,0.8274886877828055,0.4723617381954324,0.6768704817742107,0.2178544494720965,0.3968509004155678,0.1574906371606469
StackedEnsemble_AllModels_3_AutoML_1_20250426_112748,0.8274886877828055,0.492013511815189,0.649533590264713,0.1986236802413273,0.403748904549797,0.1630131779251611
DeepLearning_grid_3_AutoML_1_20250426_112748_model_1,0.8271116138763197,0.5072873063594112,0.6978372743626486,0.2130467571644042,0.4063147172730318,0.1650916494726637
DeepLearning_grid_3_AutoML_1_20250426_112748_model_2,0.8266402714932126,0.4818840701027875,0.6873529794909805,0.2084276018099547,0.3967108441940822,0.1573794939011814
GBM_grid_1_AutoML_1_20250426_112748_model_3,0.8265460030165912,0.4756466286826473,0.6719202573809676,0.1884426847662141,0.3999788844558532,0.1599831080105487
DeepLearning_grid_2_AutoML_1_20250426_112748_model_5,0.8259803921568628,0.4747925102421739,0.6821724062558707,0.2322775263951734,0.3993868404870977,0.1595098483542665
DeepLearning_grid_1_AutoML_1_20250426_112748_model_8,0.8254147812971342,0.5013418980994917,0.7105867793702902,0.2428355957767722,0.4038740930577483,0.1631142830432187
GBM_4_AutoML_1_20250426_112748,0.8252262443438915,0.4818421590308572,0.6699251993469335,0.227658371040724,0.4028164577792663,0.1622610986578354
GBM_grid_1_AutoML_1_20250426_112748_model_4,0.8239064856711915,0.4756703103868557,0.6740837372203531,0.2387820512820512,0.3990466468542318,0.159238226365606
GBM_grid_1_AutoML_1_20250426_112748_model_21,0.8235294117647058,0.5585830930942935,0.6421197018055378,0.2332202111613876,0.4196291423237705,0.1760886170873832
GBM_grid_1_AutoML_1_20250426_112748_model_78,0.8220211161387632,0.4784712129752776,0.6860060034658079,0.222473604826546,0.3981232925743245,0.1585021560902211
GLM_1_AutoML_1_20250426_112748,0.8220211161387632,0.4766012469429427,0.7159738628478501,0.2330316742081448,0.3950451069458661,0.1560606365218708
DeepLearning_grid_1_AutoML_1_20250426_112748_model_10,0.8220211161387632,0.488790525976064,0.7150534160188267,0.2432126696832579,0.398842643614438,0.1590754543653536
GBM_grid_1_AutoML_1_20250426_112748_model_5,0.8218325791855203,0.5036212126674249,0.6475166858548298,0.2280354449472096,0.4104695954682003,0.168485288803828
GBM_grid_1_AutoML_1_20250426_112748_model_32,0.821078431372549,0.5165657763952707,0.6566438091281583,0.2219079939668174,0.4176566670659169,0.1744370915446101
DeepLearning_grid_3_AutoML_1_20250426_112748_model_3,0.8208898944193062,0.4820334149263187,0.681703037047266,0.2472662141779789,0.4055916830945226,0.1645046133954476
DeepLearning_grid_1_AutoML_1_20250426_112748_model_6,0.8199472096530921,0.5372401312417496,0.7014186177775832,0.2509426847662142,0.4175631301455895,0.1743589676569825
GBM_grid_1_AutoML_1_20250426_112748_model_15,0.8191930618401208,0.4900800973384896,0.6566582871867345,0.2315233785822021,0.4103065771085271,0.1683514872185156
StackedEnsemble_AllModels_2_AutoML_1_20250426_112748,0.818815987933635,0.4748729524761416,0.6803152212167923,0.251131221719457,0.4004764932824128,0.1603814216717784
GBM_grid_1_AutoML_1_20250426_112748_model_13,0.8182503770739065,0.576538089170184,0.6734194596501062,0.2435897435897436,0.4149535547408855,0.172186452592097
GBM_grid_1_AutoML_1_20250426_112748_model_18,0.8178733031674208,0.5387427705941261,0.597453516206639,0.227658371040724,0.4241110775321688,0.1798702060854972
StackedEnsemble_BestOfFamily_3_AutoML_1_20250426_112748,0.8176847662141781,0.4759757754222957,0.6749286970816613,0.2559389140271493,0.4010415753087479,0.1608343451261221
GBM_5_AutoML_1_20250426_112748,0.8154223227752639,0.4995032600609331,0.6509473989412378,0.2478318250377074,0.4095914883213088,0.1677651873052648
GBM_grid_1_AutoML_1_20250426_112748_model_76,0.8120286576168929,0.5133145893262114,0.644500133130385,0.2361425339366516,0.4163364776099361,0.1733360625886488
GBM_grid_1_AutoML_1_20250426_112748_model_12,0.8114630467571644,0.5249710161570363,0.6150498971072025,0.2361425339366516,0.4209903330037813,0.1772328604826347
GBM_2_AutoML_1_20250426_112748,0.8112745098039216,0.5022908656074271,0.6271799304303566,0.2363310708898944,0.4108060061300745,0.1687615746725428
DeepLearning_grid_2_AutoML_1_20250426_112748_model_2,0.8088235294117647,0.511308685667533,0.649414213324831,0.2387820512820512,0.4146370467890235,0.1719238805699229
StackedEnsemble_AllModels_5_AutoML_1_20250426_112748,0.8050527903469079,0.506803131877326,0.6527815442208424,0.2368966817496229,0.4179251504325781,0.174661431364093
XRT_1_AutoML_1_20250426_112748,0.8019419306184012,0.4930537387660954,0.6623193796656219,0.2659313725490196,0.4104587355305005,0.1684763735732973
DeepLearning_grid_1_AutoML_1_20250426_112748_model_9,0.801659125188537,0.5604928977991678,0.6555949614312719,0.2605580693815988,0.4289844431363531,0.184027652453007
GBM_grid_1_AutoML_1_20250426_112748_model_33,0.7997737556561085,0.5393742575012164,0.5945470032151323,0.2426470588235294,0.4308904900836393,0.1856666144445188
DeepLearning_grid_1_AutoML_1_20250426_112748_model_3,0.7988310708898945,1.0823256478882202,0.5855442998312079,0.2417043740573152,0.436566271744194,0.1905901096246254
GBM_grid_1_AutoML_1_20250426_112748_model_10,0.7984539969834088,0.5023623534070482,0.6117880623174214,0.2470776772247361,0.4136539233159456,0.1711095682746742
DeepLearning_grid_2_AutoML_1_20250426_112748_model_3,0.7960030165912518,0.5163632229522979,0.6249198140636304,0.2576357466063348,0.4139603765490725,0.1713631933526498
DeepLearning_grid_2_AutoML_1_20250426_112748_model_4,0.7918552036199096,0.526553868867533,0.685329129084784,0.2697963800904977,0.4123737389893847,0.1700521006080851
DeepLearning_grid_1_AutoML_1_20250426_112748_model_5,0.7914781297134238,0.9044416015751918,0.6027051187280924,0.2320889894419306,0.428697769501884,0.1837817775758904
DeepLearning_grid_1_AutoML_1_20250426_112748_model_2,0.790818250377074,0.7305314101078777,0.6163119102980718,0.2420814479638009,0.4368508268229204,0.1908386448958692
GBM_grid_1_AutoML_1_20250426_112748_model_77,0.7837481146304677,0.5467557277477871,0.6093507242822233,0.2714932126696833,0.4322576383012447,0.1868466658697696
GBM_grid_1_AutoML_1_20250426_112748_model_1,0.7837481146304677,0.520668322899042,0.5836692799050129,0.2603695324283559,0.4208538582251959,0.1771179699830332
DeepLearning_1_AutoML_1_20250426_112748,0.7709276018099547,0.5497208947058144,0.6097761225046372,0.2905354449472096,0.4299404209908538,0.1848487656017926
GBM_grid_1_AutoML_1_20250426_112748_model_80,0.7664027149321266,0.6065385013495374,0.5953351440198467,0.2724358974358974,0.4566572412922611,0.2085358360246584
DeepLearning_grid_1_AutoML_1_20250426_112748_model_4,0.7173831070889894,1.0442288824565316,0.4950444993730022,0.2812971342383107,0.5006704915218775,0.2506709410807584
